,bfas1,bfas2,bfas3,bfas4,bfas5,bfas6,bfas7,bfas8,bfas9,bfas10,bfas11,bfas12,bfas13,bfas14,bfas15,bfas16,bfas17,bfas18,bfas19,bfas20,bfas21,bfas22,bfas23,bfas24,bfas25,bfas26,bfas27,bfas28,bfas29,bfas30,bfas31,bfas32,bfas33,bfas34,bfas35,bfas36,bfas37,bfas38,bfas39,bfas40,bfas41,bfas42,bfas43,bfas44,bfas45,bfas46,bfas47,bfas48,bfas49,bfas50,bfas51,bfas52,bfas53,bfas54,bfas55,bfas56,bfas57,bfas58,bfas59,bfas60,bfas61,bfas62,bfas63,bfas64,bfas65,bfas66,bfas67,bfas68,bfas69,bfas70,bfas71,bfas72,bfas73,bfas74,bfas75,bfas76,bfas77,bfas78,bfas79,bfas80,bfas81,bfas82,bfas83,bfas84,bfas85,bfas86,bfas87,bfas88,bfas89,bfas90,bfas91,bfas92,bfas93,bfas94,bfas95,bfas96,bfas97,bfas98,bfas99,bfas100,jf1,jf2,jf3,jf4,jf5,jf6,jf7,jf8,jf9,jf10,jf11,jf12,jf13,jf14,jf15,jf16,jf17,jf18,jf19,jf20,jf21,jf22,jf23,jf24,jf25,jf26,jf27,jf28,jf29,jf30,jf31,jf32,jf33,jf34,jf35,jf36
11sep12nc,1,1,5,5,4,2,5,3,4,4,3,4,1,1,3,5,4,5,5,5,5,5,1,1,4,2,5,5,1,4,1,3,2,1,4,5,1,5,4,5,5,5,5,4,3,1,4,3,2,4,3,1,1,1,3,5,5,4,5,3,2,1,4,1,3,1,1,2,4,3,3,5,4,5,4,5,1,1,3,3,3,1,3,5,3,1,1,5,3,3,1,4,3,5,4,1,3,4,3,5,5,4,4,4,2,2,5,4,4,4,2,5,1,5,3,3,4,4,5,5,5,4,4,5,5,4,4,5,4,5,1,5,5,4,3,3
11sep12ms,2,3,4,3,4,2,3,2,4,4,2,3,2,2,2,3,2,3,3,4,4,3,2,3,4,2,4,3,2,3,2,2,2,3,4,4,2,4,3,4,4,3,4,3,2,2,4,2,2,4,3,2,2,2,2,4,2,2,3,2,2,3,4,3,4,2,2,3,3,4,3,3,4,4,4,3,2,4,3,2,2,3,2,4,2,3,4,2,3,4,2,3,3,4,4,2,3,3,2,3,4,4,4,4,3,3,5,4,4,3,3,4,2,3,3,3,3,3,4,3,3,4,3,2,4,3,3,4,3,3,2,4,3,4,4,3
11sep12mm,3,2,4,4,3,4,4,2,4,5,4,2,3,2,2,2,3,4,3,2,3,2,3,3,4,4,3,4,2,4,2,2,2,4,4,2,4,4,4,5,3,2,4,3,1,4,3,2,2,2,5,3,3,3,3,2,4,5,4,2,3,2,4,3,3,4,5,2,3,4,3,4,4,5,4,2,5,1,1,2,3,2,3,5,3,4,5,2,2,2,4,2,3,5,3,3,3,4,2,4,3,3,2,1,3,4,5,3,4,3,1,3,2,3,3,4,3,2,5,4,2,4,3,3,4,3,4,3,3,4,3,2,2,3,3,3
11sep12sp,4,2,3,3,2,3,5,1,2,4,4,3,3,4,3,2,1,4,4,5,4,3,2,2,3,2,5,3,4,5,1,3,4,3,4,5,1,4,2,5,5,4,4,3,2,4,4,2,3,1,5,1,2,2,3,4,5,2,2,1,2,2,2,2,4,4,1,2,2,5,3,4,3,5,4,2,1,3,4,2,3,1,4,5,4,3,1,4,3,2,4,4,4,5,4,4,3,3,2,3,4,4,3,3,4,4,5,2,4,3,2,2,3,4,3,4,2,2,5,3,3,3,2,2,4,3,3,3,3,2,3,3,3,2,3,3
12sep12kb,3,2,4,4,3,3,4,4,4,3,3,4,2,3,4,2,3,5,5,5,4,4,2,2,3,4,5,2,2,4,2,2,2,3,2,4,1,5,3,4,3,4,4,4,3,4,4,4,3,3,4,2,2,2,5,3,3,4,4,2,2,2,3,2,2,4,2,4,4,4,3,4,3,4,3,2,2,2,2,2,4,2,4,5,5,4,4,3,3,2,2,5,2,4,3,3,3,4,2,3,4,5,3,3,1,2,5,4,2,2,3,3,1,2,3,3,3,3,5,4,5,3,3,3,5,3,4,3,3,4,2,2,3,3,4,3
12sep12nv,3,2,4,2,5,3,5,4,5,4,5,3,3,4,3,2,3,5,5,4,3,4,3,4,5,3,4,3,2,5,4,2,4,4,3,2,3,5,3,3,3,3,4,3,2,3,3,3,1,4,4,2,2,3,4,3,2,2,5,5,2,2,4,3,4,3,4,2,4,4,4,4,4,3,4,2,2,1,1,1,2,2,3,3,2,3,3,4,4,3,5,4,3,5,4,4,4,4,1,4,3,4,3,2,2,3,4,2,4,4,5,2,3,3,2,2,3,2,4,1,1,3,2,3,4,2,2,3,2,1,2,4,2,3,2,3
12sep12sc,5,1,5,5,5,2,4,1,5,5,1,4,2,1,1,5,3,5,5,4,5,5,3,3,5,1,4,5,2,4,2,1,1,1,5,5,3,5,3,4,5,5,5,4,4,1,3,5,2,4,3,1,2,3,1,5,4,3,5,4,1,1,5,1,4,1,1,4,2,2,5,4,5,5,5,5,1,1,4,1,2,1,2,5,1,1,2,4,4,2,2,5,1,5,5,2,2,5,1,5,5,5,4,4,1,2,5,5,4,4,4,4,2,4,5,4,3,4,5,5,4,5,4,4,5,4,5,5,4,5,1,4,4,4,4,5
12sep12ta,4,2,4,4,5,2,2,2,4,5,4,5,3,1,1,2,2,3,4,4,3,4,4,1,5,3,4,3,3,4,2,1,1,1,4,2,1,5,3,5,4,5,5,4,3,4,2,2,3,4,4,1,1,1,2,3,4,4,5,1,3,1,3,1,4,3,1,2,4,5,3,4,3,4,5,3,2,2,1,2,3,1,4,5,2,1,3,2,4,1,2,4,3,5,4,2,1,4,1,4,4,3,3,2,1,2,3,2,4,4,4,5,3,3,3,4,5,3,3,2,1,5,3,3,4,2,3,4,2,2,1,3,3,4,2,4
12sep12mb,4,4,4,2,5,2,3,2,3,5,2,3,3,4,2,2,4,4,3,4,5,2,4,4,4,2,4,5,2,2,2,4,2,5,4,5,2,3,3,4,3,2,3,2,2,3,4,3,2,3,3,3,2,4,3,5,4,4,4,2,2,3,2,4,4,2,1,2,4,3,3,2,3,2,4,3,2,2,2,3,2,3,3,3,2,2,3,3,3,3,2,3,4,2,4,3,3,3,3,4,4,5,3,3,2,3,5,3,4,3,4,2,2,3,3,5,4,3,5,2,3,5,4,3,4,3,3,5,3,3,1,2,3,5,3,4
14sep12vh,3,2,4,3,3,2,5,1,3,4,5,4,4,3,3,3,2,5,3,5,3,4,3,3,4,2,5,5,4,3,4,2,2,3,3,4,2,4,1,4,3,4,4,3,3,3,4,2,4,2,4,2,2,4,2,3,3,4,3,4,3,1,2,2,3,3,2,2,2,3,2,4,2,5,3,4,1,1,4,3,4,2,3,4,3,3,1,4,2,2,5,5,4,4,3,2,2,4,4,3,3,4,2,3,4,4,5,2,3,3,2,3,4,2,2,2,2,2,5,1,2,1,1,3,3,2,1,3,3,3,2,4,3,3,4,3
14sep12bg,4,4,5,2,5,1,5,1,4,2,2,4,1,2,1,5,4,5,4,2,4,2,1,2,5,2,2,5,1,1,1,2,2,5,5,5,2,5,4,2,5,4,5,4,2,1,2,2,1,5,4,1,1,5,1,5,4,5,5,5,1,1,4,2,1,1,4,2,5,1,2,4,5,4,5,1,2,1,1,5,1,1,1,5,1,4,5,4,4,5,4,2,1,2,5,1,4,4,4,4,5,5,4,4,2,3,5,4,3,4,3,5,2,5,2,5,2,5,5,3,3,5,3,5,5,4,4,5,3,5,2,5,4,5,5,4
14sep12tw,4,2,4,4,3,2,4,3,5,4,4,4,4,3,3,3,2,5,4,4,4,4,1,3,4,2,2,4,2,3,1,1,1,3,4,4,3,5,3,3,4,4,4,5,3,2,2,2,1,2,4,2,2,2,1,2,3,4,4,2,2,1,2,2,3,2,2,1,4,3,4,4,3,5,3,2,1,1,2,2,3,2,3,4,2,3,1,2,2,2,3,4,4,5,4,2,2,5,2,3,4,4,3,3,2,3,5,3,3,5,3,3,2,3,3,2,3,1,4,3,3,2,2,4,4,3,5,4,3,5,2,4,3,3,3,4
17sep12cd,4,3,5,4,2,1,5,1,3,4,4,3,2,4,4,5,3,4,3,3,4,4,3,3,2,3,3,4,3,4,3,2,3,4,2,4,1,4,3,4,4,4,4,2,3,2,3,2,4,3,4,3,1,2,4,4,4,4,3,3,3,2,2,2,1,1,1,1,3,3,1,3,4,4,3,4,1,1,3,3,4,3,4,4,5,1,3,4,3,3,4,4,4,4,2,3,3,4,4,3,3,4,3,3,3,2,5,3,4,2,1,5,1,2,3,3,5,5,5,2,2,2,4,5,5,3,2,2,4,3,2,2,3,2,4,4
17sep12ab,3,2,3,4,4,2,1,5,4,4,5,3,2,4,2,3,3,2,4,4,4,3,4,2,4,1,2,2,3,5,2,2,4,2,4,4,3,3,3,4,4,4,4,4,1,3,2,5,2,1,5,2,2,3,2,4,3,3,3,2,2,2,1,2,4,2,3,4,4,3,2,4,1,2,2,4,3,3,2,1,2,2,5,5,2,2,2,1,2,1,4,4,5,3,3,2,2,2,2,5,3,2,1,3,3,2,5,2,3,4,3,1,3,4,4,4,5,3,4,3,3,3,4,1,5,2,4,3,3,2,2,4,3,3,3,3
17sep12mr,3,2,2,4,4,2,4,2,3,5,4,4,4,3,2,4,1,4,2,4,3,4,2,2,2,3,5,4,5,5,2,2,4,3,5,2,1,2,3,5,2,4,2,3,2,4,5,2,4,1,4,1,2,3,2,3,5,4,3,2,3,2,3,3,2,4,1,2,3,4,3,4,3,4,2,4,1,3,4,4,4,1,4,4,3,3,1,2,2,1,3,5,4,4,4,2,3,4,3,5,2,3,3,4,5,3,4,1,3,4,2,2,2,4,3,4,2,1,3,1,2,1,1,2,3,3,3,3,2,1,3,4,2,2,4,3
17sep12vn,4,1,2,2,4,3,4,4,1,5,5,5,4,5,1,3,2,3,2,5,2,5,4,5,5,2,5,2,3,3,3,1,4,5,5,3,1,3,1,4,4,5,3,1,1,2,4,4,4,2,4,1,3,3,1,5,5,2,2,2,4,1,3,4,3,2,1,4,1,4,1,5,2,2,4,4,1,3,4,2,4,1,5,4,2,3,1,3,1,1,3,5,3,4,3,3,2,1,5,5,3,3,2,3,4,4,4,3,2,5,4,3,3,2,2,3,4,3,4,3,3,1,3,2,4,3,2,5,4,3,3,4,3,4,4,3
17sep12jw,3,1,2,4,4,1,1,2,2,4,4,5,4,5,2,3,4,2,2,3,2,5,4,5,5,3,5,4,2,1,4,2,3,5,4,5,1,2,3,2,3,5,3,4,5,4,5,4,5,3,4,1,3,4,5,5,5,3,2,4,3,3,4,5,5,4,2,3,3,3,1,4,4,2,5,2,1,3,3,4,4,5,5,3,2,4,4,3,2,4,2,3,4,2,4,2,3,2,4,3,4,5,2,2,3,2,5,4,2,2,3,2,2,2,2,1,3,2,5,2,1,3,4,2,5,2,3,3,2,4,2,2,1,3,2,3
18sep12ar,5,2,4,4,3,2,5,2,3,3,2,3,1,2,2,3,1,4,3,4,5,3,2,1,5,1,4,3,3,4,1,2,2,2,4,5,1,4,2,4,5,5,5,4,3,1,4,2,3,2,2,2,2,2,1,5,4,4,3,2,2,1,3,2,3,1,1,2,3,3,2,3,4,3,4,4,1,2,4,2,2,2,2,4,2,3,2,3,3,3,2,5,2,4,3,2,3,5,4,3,4,5,3,4,2,1,5,4,4,3,3,5,2,3,3,2,5,5,5,3,5,3,4,5,4,2,4,3,4,3,1,4,3,4,5,3
18sep12dp,4,1,4,4,5,1,3,3,4,5,3,4,3,1,3,2,2,3,3,5,4,5,3,1,5,2,5,3,3,3,2,1,3,2,4,4,2,3,3,5,4,5,5,4,2,2,3,4,2,3,2,1,2,3,2,4,3,3,4,2,2,1,4,2,4,2,2,3,3,4,3,4,3,3,4,3,1,3,2,3,2,1,3,4,2,2,1,3,3,3,2,4,2,3,3,2,2,2,3,4,4,4,4,4,2,3,4,2,4,5,3,3,3,3,4,2,4,3,4,3,4,4,3,4,4,4,4,4,4,4,2,4,3,4,4,4
18sep12ag,2,3,4,1,4,2,5,1,3,2,5,1,5,5,2,2,3,5,2,1,2,1,4,4,2,3,3,5,4,3,4,2,4,5,4,5,2,5,1,1,2,2,4,2,4,1,5,1,4,3,5,3,2,2,4,5,3,5,2,5,3,3,2,4,2,1,1,1,2,2,1,3,2,2,3,2,1,1,3,4,3,1,4,2,2,4,1,5,2,2,4,2,5,3,3,3,4,5,4,4,3,2,1,3,4,5,4,3,4,5,4,3,3,2,2,1,3,1,4,2,1,4,3,2,3,2,1,4,3,1,2,2,2,3,1,1
18sep12ng,4,1,4,2,3,1,5,4,3,3,3,4,2,5,2,4,2,4,3,3,4,4,3,3,4,2,5,3,4,4,3,1,4,4,2,5,2,4,2,3,4,5,4,4,2,2,5,4,4,3,3,1,2,3,3,5,5,4,3,3,2,1,3,3,5,1,1,3,2,3,2,4,3,3,3,5,1,1,3,2,4,1,1,4,3,2,1,3,2,2,3,4,4,3,4,2,2,4,5,4,5,5,2,4,2,3,5,3,3,3,4,5,2,4,1,3,4,4,5,2,3,4,3,4,4,3,2,4,4,3,2,4,3,4,3,4
18sep12pw,4,1,5,5,5,1,5,5,5,4,5,5,4,2,1,5,3,3,5,4,3,5,1,1,4,3,3,4,1,5,4,1,2,1,4,2,1,5,4,3,2,5,4,5,1,5,1,2,2,1,5,1,1,1,2,5,3,5,5,2,3,1,5,1,5,5,2,1,4,5,3,5,2,5,5,4,2,1,1,1,1,1,2,5,2,1,2,5,5,1,5,5,5,4,4,1,4,5,1,5,4,3,3,2,2,3,4,4,2,5,4,1,3,5,5,5,4,2,5,5,3,4,2,2,4,3,5,5,3,4,2,2,2,4,1,1
18sep12ng2,5,2,4,3,4,4,4,2,4,4,4,4,2,2,3,2,1,4,3,3,4,4,2,3,4,2,4,2,3,4,2,1,2,2,4,4,1,4,3,4,5,4,5,4,2,4,4,2,2,3,4,1,2,2,2,4,4,4,4,2,2,1,4,2,4,2,2,2,3,2,4,4,2,4,4,2,1,1,2,1,4,1,2,4,2,4,1,4,4,1,2,4,3,4,4,2,2,4,2,4,4,3,2,3,3,3,4,3,4,4,3,4,2,2,3,2,3,2,4,3,3,4,3,3,4,3,3,4,3,3,2,1,3,3,3,3
